name,city,state,country,latitude,longitude,tees,holes,par,rating,slope,access_type,website
Bringhurst Golf Course,Alexandria,Louisiana,USA,31.2891106,-92.4562674,"[{""name"":""Back (M)"",""rating"":null,""par"":27,""slope"":null}]",9,27,,,Public,http://www.cityofalexandriala.com
Brinkley Country Club,Brinkley,Arkansas,USA,34.85650501,-91.22838342,"[{""name"":""Mens (M)"",""rating"":null,""par"":36,""slope"":103},{""name"":""Womens (F)"",""rating"":null,""par"":36,""slope"":110}]",9,36,,,Private,http://facebook.com/p/brinkley-country-club-100057357615024
Bristol Golf Club At The Cedars,Bristol,Tennessee,USA,36.54134,-82.225337,"[{""name"":""Blue (M)"",""rating"":70,""par"":71,""slope"":113},{""name"":""White (M)"",""rating"":null,""par"":71,""slope"":null}]",18,71,,,Public,
Bristol Golf Park,Bristol,Rhode Island,USA,41.723875,-71.520981,"[{""name"":""Blue (M)"",""rating"":null,""par"":27,""slope"":81},{""name"":""Red (M)"",""rating"":null,""par"":27,""slope"":null}]",9,32,,,Public,http://bristolgolfpark.com/
Bristol Oaks Golf Club,Bristol,Wisconsin,USA,42.5599323,-88.0160339,"[{""name"":""Blue (M)"",""rating"":70.4,""par"":72,""slope"":124},{""name"":""White (M)"",""rating"":68.9,""par"":72,""slope"":121},{""name"":""Gold (M)"",""rating"":67.7,""par"":72,""slope"":118},{""name"":""Gold (F)"",""rating"":72.8,""par"":72,""slope"":126},{""name"":""Red (M)"",""rating"":68.8,""par"":72,""slope"":117}]",9,72,,,Semi-Private,https://www.bristoloaks.com/
Bristol Ridge Golf Course,Somerset,Wisconsin,USA,45.1481488,-92.6383706,"[{""name"":""Blue (M)"",""rating"":72.1,""par"":72,""slope"":133},{""name"":""White (M)"",""rating"":71.2,""par"":72,""slope"":130},{""name"":""Red (M)"",""rating"":69.9,""par"":71,""slope"":123}]",18,72,,,Public,https://www.bristolridgegolfcourse.com/
Bristow Golf Country Club,Bristow,Oklahoma,USA,35.83468754,-96.4097088,"[{""name"":""White (M)"",""rating"":null,""par"":36,""slope"":126},{""name"":""Red (F)"",""rating"":null,""par"":37,""slope"":122}]",9,36,,,Semi-Private,http://facebook.com/bristow-golf-club-244841612215001
Bristow Manor Golf Club,Bristow,Virginia,USA,38.706147,-77.532025,"[{""name"":""Championship (M)"",""rating"":75.2,""par"":72,""slope"":133},{""name"":""Back (M)"",""rating"":73.5,""par"":72,""slope"":130},{""name"":""Middle (M)"",""rating"":71.3,""par"":72,""slope"":126},{""name"":""Forward (F)"",""rating"":71.7,""par"":73,""slope"":126}]",18,72,,,Semi-Private,http://www.bristowmanorgc.com
Britt Country Club,Britt,Iowa,USA,43.1092508,-93.800485,"[{""name"":""Mens (M)"",""rating"":null,""par"":36,""slope"":117},{""name"":""Ladies (M)"",""rating"":null,""par"":37,""slope"":113}]",9,36,,,Semi-Private,https://brittiowa.com/
Britton Country Club,Britton,South Dakota,USA,45.8038238,-97.7282357,"[{""name"":""White (M)"",""rating"":32.5,""par"":34,""slope"":115},{""name"":""Red (M)"",""rating"":34.2,""par"":34,""slope"":118}]",18,34,,,Public,http://www.brittoncountryclub.com/
Broad Bay Country Club,Virginia Beach,Virginia,USA,36.89049053,-76.04881704,"[{""name"":""Blue (M)"",""rating"":69,""par"":70,""slope"":124},{""name"":""White (M)"",""rating"":67,""par"":70,""slope"":118},{""name"":""White/Gold (M)"",""rating"":65.8,""par"":70,""slope"":115},{""name"":""Red (F)"",""rating"":70.7,""par"":71,""slope"":125},{""name"":""Red/Gold (F)"",""rating"":69.9,""par"":71,""slope"":124}]",18,70,,,Private,http://www.broadbaycc.com
Broad Run Golf Practice Facility,Bristow,Virginia,USA,38.73472082,-77.53798858,"[{""name"":""Black (M)"",""rating"":null,""par"":35,""slope"":124},{""name"":""Blue (M)"",""rating"":66,""par"":35,""slope"":117},{""name"":""Green (M)"",""rating"":null,""par"":35,""slope"":105},{""name"":""White (M)"",""rating"":null,""par"":35,""slope"":100}]",9,35,,,Public,http://www.broadrungolf.com
Broad Run Golfer's Club,West Chester,Pennsylvania,USA,39.9328,-75.7256,"[{""name"":""Black"",""rating"":74.1,""par"":72,""slope"":139},{""name"":""Blue"",""rating"":72.5,""par"":72,""slope"":135},{""name"":""White"",""rating"":70.2,""par"":72,""slope"":130}]",18,72,73.2,142,Public,
Broadacres Golf Club,Orangeburg,New York,USA,41.05057798,-73.96806657,"[{""name"":""Blue (M)"",""rating"":null,""par"":36,""slope"":129},{""name"":""White (M)"",""rating"":null,""par"":36,""slope"":127},{""name"":""Red (F)"",""rating"":null,""par"":36,""slope"":126}]",9,35,,,Public,http://www.broadacresgolf.com
Broadland Creek Golf Course,Huron,South Dakota,USA,44.3486,-98.1953,"[{""name"":""Blue"",""rating"":70.4,""par"":72,""slope"":121},{""name"":""White"",""rating"":68.8,""par"":72,""slope"":117}]",18,72,72,123,Public,
Broadland Creek National Golf Course,Huron,South Dakota,USA,44.3941181,-98.224529,"[{""name"":""Blue (M)"",""rating"":74.7,""par"":72,""slope"":127},{""name"":""White (M)"",""rating"":72.3,""par"":72,""slope"":125},{""name"":""Gold (M)"",""rating"":69.7,""par"":72,""slope"":117},{""name"":""Red (M)"",""rating"":71.6,""par"":72,""slope"":118}]",18,72,,,Public,http://broadlandcreekgolf.com/
Broadlands Golf Club,North Prairie,Wisconsin,USA,42.9242,-88.3615,"[{""name"":""Black"",""rating"":73.2,""par"":72,""slope"":134},{""name"":""Blue"",""rating"":71,""par"":72,""slope"":129},{""name"":""White"",""rating"":68.7,""par"":72,""slope"":124}]",18,72,73.2,129,Public,
Broadlands Golf Course,Broomfield,Colorado,USA,39.9565447,-105.0403747,"[{""name"":""Black (M)"",""rating"":73.2,""par"":72,""slope"":130},{""name"":""Gold (M)"",""rating"":70.2,""par"":72,""slope"":127},{""name"":""Gold/Blue (M)"",""rating"":68.5,""par"":72,""slope"":122},{""name"":""Blue (F)"",""rating"":73.2,""par"":72,""slope"":135},{""name"":""Blue (M)"",""rating"":67.2,""par"":72,""slope"":114},{""name"":""Blue/Silver (M)"",""rating"":65.1,""par"":72,""slope"":113},{""name"":""Blue/Silver (F)"",""rating"":71,""par"":72,""slope"":131},{""name"":""Silver (M)"",""rating"":63.7,""par"":72,""slope"":109},{""name"":""Silver (F)"",""rating"":68.7,""par"":72,""slope"":124}]",18,72,,,Public,http://www.thebroadlandsgc.com/
Broadmoor (East Course),Colorado Springs,Colorado,USA,38.7522,-104.8467,"[{""name"":""Gold"",""rating"":74.2,""par"":70,""slope"":138},{""name"":""Blue"",""rating"":72.1,""par"":70,""slope"":134}]",18,72,74.5,141,Public,
Broadmoor Cheyenne,Colorado Springs,Colorado,USA,38.7699092,-104.8414886,"[{""name"":""Championship (M)"",""rating"":73,""par"":72,""slope"":127}]",18,72,,,Private,http://www.broadmoor.com/reception-venues/
Broadmoor Country Club,Caledonia,Wisconsin,USA,43.62314892,-91.26470209,"[{""name"":""White (M)"",""rating"":69.8,""par"":71,""slope"":119},{""name"":""Red (F)"",""rating"":null,""par"":72,""slope"":null}]",18,71,,,Semi-Private,http://www.golfbroadmoor.com/
Broadmoor Country Club,Indianapolis,Indiana,USA,39.8547,-86.2047,"[{""name"":""Black"",""rating"":74,""par"":72,""slope"":139},{""name"":""Blue"",""rating"":71.8,""par"":72,""slope"":134},{""name"":""White"",""rating"":69.5,""par"":72,""slope"":128}]",18,72,73.5,138,Private,
Broadmoor Golf Club,Seattle,Washington,USA,47.6356,-122.2908,"[{""name"":""Blue"",""rating"":72.8,""par"":72,""slope"":134},{""name"":""White"",""rating"":70.9,""par"":72,""slope"":130},{""name"":""Red"",""rating"":68.2,""par"":72,""slope"":122}]",18,70,71.1,130,Private,
Broadmoor Golf Course,Portland,Oregon,USA,45.573583,-122.629642,"[{""name"":""Blue (M)"",""rating"":71.2,""par"":72,""slope"":126},{""name"":""White (M) (M)"",""rating"":69,""par"":72,""slope"":121},{""name"":""White (F)"",""rating"":74.5,""par"":72,""slope"":129},{""name"":""Red (M)"",""rating"":70.4,""par"":73,""slope"":120}]",18,72,,,Public,http://broadmoor-1931.com
Broadmoor Golf Links,Fletcher,North Carolina,USA,35.42017297,-82.53142118,"[{""name"":""Orange (M)"",""rating"":73.2,""par"":72,""slope"":133},{""name"":""Blue (M)"",""rating"":70.7,""par"":72,""slope"":136},{""name"":""White (M)"",""rating"":68.4,""par"":72,""slope"":126},{""name"":""Yellow (M)"",""rating"":67.3,""par"":72,""slope"":112},{""name"":""Green (M)"",""rating"":64.6,""par"":72,""slope"":106},{""name"":""Sky Blue (M)"",""rating"":61.4,""par"":72,""slope"":99}]",18,72,,,Public,http://www.broadmoorgolflinks.com
Broadmoore Golf Course,Moore,Oklahoma,USA,35.30902392,-97.46580922,"[{""name"":""Blue (M)"",""rating"":69.2,""par"":71,""slope"":107},{""name"":""White (M)"",""rating"":68.5,""par"":71,""slope"":102},{""name"":""Red (F)"",""rating"":69.9,""par"":73,""slope"":97}]",18,71,,,Public,
Brockton Country Club,Brockton,Massachusetts,USA,42.0472034,-71.0206705,"[{""name"":""White (M)"",""rating"":null,""par"":36,""slope"":120},{""name"":""Red (M)"",""rating"":null,""par"":36,""slope"":118}]",9,36,,,Private,http://www.brocktoncc.com/
Brockville Country Club,Brockville,New York,USA,44.550783,-75.695805,"[{""name"":""Blue (M)"",""rating"":70.8,""par"":72,""slope"":129},{""name"":""White (M)"",""rating"":69.8,""par"":72,""slope"":126},{""name"":""White (F)"",""rating"":74.2,""par"":72,""slope"":136},{""name"":""White/Red (M)"",""rating"":68.8,""par"":72,""slope"":124},{""name"":""White/Red (F)"",""rating"":74.2,""par"":72,""slope"":136},{""name"":""Red (M)"",""rating"":68.3,""par"":72,""slope"":121},{""name"":""Red (F)"",""rating"":73.5,""par"":72,""slope"":133},{""name"":""Gold (M)"",""rating"":66.3,""par"":72,""slope"":113},{""name"":""Gold (F)"",""rating"":70.9,""par"":72,""slope"":125},{""name"":""Gold/Green (M)"",""rating"":64.8,""par"":72,""slope"":109},{""name"":""Gold/Green (F)"",""rating"":69,""par"":72,""slope"":122},{""name"":""Green (M)"",""rating"":62.9,""par"":72,""slope"":103},{""name"":""Green (F)"",""rating"":66.4,""par"":72,""slope"":117}]",18,72,,,Semi-Private,http://www.brockvillecountryclub.com
Brockville Highland Golf Club,Brockville,New York,USA,44.557953,-75.685494,"[{""name"":""White (M)"",""rating"":67.2,""par"":70,""slope"":118},{""name"":""White (F)"",""rating"":71.9,""par"":71,""slope"":114},{""name"":""Red (M)"",""rating"":65.3,""par"":70,""slope"":115},{""name"":""Red (F)"",""rating"":69.2,""par"":71,""slope"":111},{""name"":""Yellow (M)"",""rating"":63.5,""par"":70,""slope"":104},{""name"":""Yellow (F)"",""rating"":66.6,""par"":71,""slope"":109}]",18,70,,,Semi-Private,http://brockvillehighlandgolf.com
Broken Arrow Golf Club,Broken Arrow,Oklahoma,USA,36.08811709,-95.76782763,"[{""name"":""Blue/Championship (M)"",""rating"":73,""par"":72,""slope"":127},{""name"":""White/Men (M)"",""rating"":69.5,""par"":72,""slope"":119},{""name"":""Gold/Seniors (M)"",""rating"":66.3,""par"":72,""slope"":109},{""name"":""Red/Ladies (M)"",""rating"":63.5,""par"":72,""slope"":98}]",18,72,,,Private,http://www.brokenarrowgolfac.com
Broken Arrow Golf Club,Lockport,Illinois,USA,41.5763232,-88.0148674,"[{""name"":""Gold (M)"",""rating"":74.5,""par"":72,""slope"":137},{""name"":""Blue (M)"",""rating"":72.8,""par"":72,""slope"":133},{""name"":""White (M)"",""rating"":71.7,""par"":72,""slope"":130},{""name"":""Red (F)"",""rating"":71.2,""par"":72,""slope"":124}]",18,72,,,Public,https://www.golfbrokenarrow.com/
Broken Bow Country Club,Broken Bow,Nebraska,USA,41.4073143,-99.6708411,"[{""name"":""White (M)"",""rating"":34,""par"":36,""slope"":113},{""name"":""Red (F)"",""rating"":36.4,""par"":37,""slope"":119}]",18,36,,,Public,http://brokenbowgolfclub.com/
Broken Pine Golf Country Club,Branch,Louisiana,USA,30.3567691,-92.2526022,"[{""name"":""middle (M)"",""rating"":null,""par"":36,""slope"":null},{""name"":""forward (M)"",""rating"":null,""par"":36,""slope"":null}]",9,36,,,Semi-Private,https://g.co/kgs/Rgbs4VZ
Broken Sound Club Club Course,Boca Raton,Florida,USA,26.3977945,-80.1352726,"[{""name"":""Tee 1 (M)"",""rating"":74.9,""par"":72,""slope"":147},{""name"":""Tee 1/2 (M)"",""rating"":73.9,""par"":72,""slope"":146},{""name"":""Tee 2 (M)"",""rating"":73,""par"":72,""slope"":143},{""name"":""Tee 2/3 (M)"",""rating"":71.7,""par"":72,""slope"":142},{""name"":""Tee 3 (M)"",""rating"":70.8,""par"":72,""slope"":141},{""name"":""Tee 3/4 (M)"",""rating"":69.6,""par"":72,""slope"":138},{""name"":""Tee 4 (M)"",""rating"":68.6,""par"":72,""slope"":132},{""name"":""Tee 4 (F)"",""rating"":74.2,""par"":72,""slope"":140},{""name"":""Tee 4/5 (M)"",""rating"":67.6,""par"":72,""slope"":130},{""name"":""Tee 4/5 (F)"",""rating"":72.9,""par"":72,""slope"":140},{""name"":""Tee 5 (M)"",""rating"":66.9,""par"":72,""slope"":125},{""name"":""Tee 5 (F)"",""rating"":72,""par"":72,""slope"":139},{""name"":""Tee 5/6 (M)"",""rating"":65.4,""par"":72,""slope"":122},{""name"":""Tee 5/6 (F)"",""rating"":70.3,""par"":72,""slope"":134},{""name"":""Tee 6 (M)"",""rating"":64.7,""par"":72,""slope"":120},{""name"":""Tee 6 (F)"",""rating"":69.3,""par"":72,""slope"":130},{""name"":""Tee 6/7 (M)"",""rating"":63.5,""par"":72,""slope"":117},{""name"":""Tee 6/7 (F)"",""rating"":68.2,""par"":72,""slope"":124},{""name"":""Tee 7 (M)"",""rating"":62.7,""par"":72,""slope"":115},{""name"":""Tee 7 (F)"",""rating"":67,""par"":72,""slope"":119}]",18,72,,,Private,https://www.brokensoundclub.org/
Broken Sound Club Old Course,Boca Raton,Florida,USA,26.4006978,-80.1297207,"[{""name"":""Black (M)"",""rating"":73.7,""par"":72,""slope"":136},{""name"":""Blue (M)"",""rating"":71.7,""par"":72,""slope"":131},{""name"":""White (M)"",""rating"":70,""par"":72,""slope"":125},{""name"":""Green (M)"",""rating"":66.8,""par"":72,""slope"":119},{""name"":""Green (F)"",""rating"":72.2,""par"":72,""slope"":128},{""name"":""Red (F)"",""rating"":70.2,""par"":72,""slope"":125}]",18,72,,,Private,https://www.brokensoundclub.org/
Broken Tee Englewood Golf Course,Englewood,Colorado,USA,39.6432419,-105.0126072,"[{""name"":""Blue (M)"",""rating"":71.7,""par"":72,""slope"":130},{""name"":""White (M)"",""rating"":69.2,""par"":72,""slope"":125},{""name"":""White (F)"",""rating"":76,""par"":72,""slope"":140},{""name"":""Gold (M)"",""rating"":67.1,""par"":72,""slope"":114},{""name"":""Gold (F)"",""rating"":72.7,""par"":72,""slope"":136},{""name"":""Red (F)"",""rating"":69.9,""par"":72,""slope"":127}]",18,72,,,Public,https://www.englewoodco.gov/brokentee
Broken Tee Englewood Par 3 Course,Englewood,Colorado,USA,39.6432419,-105.0126072,"[{""name"":""Blue (M)"",""rating"":null,""par"":27,""slope"":null},{""name"":""White (M)"",""rating"":null,""par"":27,""slope"":null},{""name"":""Gold (M)"",""rating"":null,""par"":27,""slope"":null},{""name"":""Red (M)"",""rating"":null,""par"":27,""slope"":null}]",9,27,,,Public,https://www.englewoodco.gov/brokentee
Bronson Golf Club,Bronson,Michigan,USA,41.8298852,-85.2370516,"[{""name"":""Black (M)"",""rating"":67.1,""par"":71,""slope"":109}]",18,71,,,Public,http://www.bronsongolf.com/
Bronzwood Golf Club,Kinsman,Ohio,USA,41.48325206,-80.55626929,"[{""name"":""Blue (M)"",""rating"":70.4,""par"":72,""slope"":119},{""name"":""White (M)"",""rating"":68,""par"":72,""slope"":114},{""name"":""Gold (M)"",""rating"":null,""par"":72,""slope"":null},{""name"":""Red (M)"",""rating"":68.3,""par"":70,""slope"":111}]",18,70,,,Public,http://www.bronzwoodgolfcourse.com
Brook Hollow Golf Club,Dallas,Texas,USA,32.8306,-96.8472,"[{""name"":""Championship"",""rating"":73.5,""par"":70,""slope"":137},{""name"":""Blue"",""rating"":71.2,""par"":70,""slope"":132},{""name"":""White"",""rating"":68.8,""par"":70,""slope"":126}]",18,71,73.5,135,Private,
Brook Lea Country Club,Rochester,New York,USA,43.13087602,-77.70451683,"[{""name"":""Blue (M)"",""rating"":73.1,""par"":72,""slope"":125},{""name"":""White (F)"",""rating"":78,""par"":73,""slope"":141},{""name"":""White (M)"",""rating"":71.3,""par"":72,""slope"":123},{""name"":""Gold (F)"",""rating"":75.5,""par"":73,""slope"":134},{""name"":""Gold (M)"",""rating"":69.1,""par"":72,""slope"":121},{""name"":""Red (M)"",""rating"":68.6,""par"":72,""slope"":119},{""name"":""Red (F)"",""rating"":75.4,""par"":73,""slope"":132},{""name"":""Red/Green (F)"",""rating"":72.6,""par"":73,""slope"":127},{""name"":""Red/Green (M)"",""rating"":66,""par"":72,""slope"":119},{""name"":""Green (M)"",""rating"":62.4,""par"":72,""slope"":112},{""name"":""Green (F)"",""rating"":67.3,""par"":73,""slope"":122}]",18,72,,,Private,http://brookleacountryclub.com
Brook Tree Golf Course,Owatonna,Illinois,USA,41.89124298,-88.17637145,[],18,70,,,Semi-Private,
Brook Valley Country Club,Greenville,North Carolina,USA,35.58731573,-77.33036246,"[{""name"":""Black (M)"",""rating"":73,""par"":72,""slope"":139},{""name"":""Blue (M)"",""rating"":71.9,""par"":72,""slope"":136},{""name"":""Gold (M)"",""rating"":69.7,""par"":72,""slope"":129},{""name"":""White (M)"",""rating"":67.3,""par"":72,""slope"":124},{""name"":""White (F)"",""rating"":72.6,""par"":72,""slope"":131},{""name"":""Red (M)"",""rating"":65.8,""par"":72,""slope"":117},{""name"":""Red (F)"",""rating"":70.6,""par"":72,""slope"":126}]",18,72,,,Private,http://www.brookvalleycc.com
Brooke Hills Park Golf Course,Wellsburg,West Virginia,USA,40.26935422,-80.5401734,"[{""name"":""Blue (M)"",""rating"":null,""par"":54,""slope"":null},{""name"":""White (M)"",""rating"":null,""par"":54,""slope"":null},{""name"":""Red (M)"",""rating"":null,""par"":54,""slope"":null}]",18,54,,,Public,http://www.brookehillspark.com
Brookfield Country Club,Clarence,New York,USA,42.98438022,-78.66654065,"[{""name"":""Blue (M)"",""rating"":73.2,""par"":72,""slope"":130},{""name"":""White (M)"",""rating"":70.7,""par"":72,""slope"":125},{""name"":""Gold (M)"",""rating"":67,""par"":72,""slope"":110},{""name"":""Yellow (M)"",""rating"":73,""par"":74,""slope"":127},{""name"":""Red (F)"",""rating"":71.1,""par"":74,""slope"":123}]",18,72,,,Private,http://www.brookfieldcc.com
Brookfield Country Club,Roswell,Georgia,USA,34.0769344,-84.4021078,"[{""name"":""Gold (M)"",""rating"":72.9,""par"":72,""slope"":139},{""name"":""Player (M)"",""rating"":72.1,""par"":72,""slope"":138},{""name"":""Blue (M)"",""rating"":71,""par"":72,""slope"":137},{""name"":""Champions (M)"",""rating"":69.8,""par"":72,""slope"":132},{""name"":""White (F)"",""rating"":73.4,""par"":72,""slope"":133},{""name"":""White (M)"",""rating"":68.8,""par"":72,""slope"":128},{""name"":""Green (F)"",""rating"":70.4,""par"":72,""slope"":127},{""name"":""Green (M)"",""rating"":65.7,""par"":72,""slope"":119},{""name"":""Silver (F)"",""rating"":69.5,""par"":72,""slope"":122}]",18,72,,,Private,https://www.invitedclubs.com/clubs/brookfield-country-club
Brookfield Hills Golf Course,Brookfield,Michigan,USA,42.981629,-82.421601,"[{""name"":""Blue (M)"",""rating"":61.5,""par"":62,""slope"":100}]",18,70,,,Public,https://www.brookfieldhillsgolf.com/
Brookhaven Country Club,Farmers Branch,Texas,USA,32.9376582,-96.8649784,"[{""name"":""Blue (M)"",""rating"":72.1,""par"":72,""slope"":128},{""name"":""Silver (F)"",""rating"":77.5,""par"":72,""slope"":142},{""name"":""Silver (M)"",""rating"":70.7,""par"":72,""slope"":123},{""name"":""Bronze (F)"",""rating"":73.4,""par"":73,""slope"":129},{""name"":""Bronze (M)"",""rating"":67.4,""par"":72,""slope"":117}]",18,72,,,Private,https://www.invitedclubs.com/clubs/brookhaven-country-club
Brookhaven Country Club,Brookhaven,Mississippi,USA,31.61190925,-90.44137895,"[{""name"":""Black (M)"",""rating"":70.9,""par"":70,""slope"":124},{""name"":""Blue (M)"",""rating"":67.4,""par"":70,""slope"":116},{""name"":""White (M)"",""rating"":64.6,""par"":70,""slope"":104},{""name"":""White (F)"",""rating"":69.7,""par"":70,""slope"":117},{""name"":""Gold (M)"",""rating"":65.7,""par"":70,""slope"":105}]",18,70,,,Semi-Private,http://brookhavencountryclub.net
Brookhaven Golf Club,Porter Corners,New York,USA,43.18527768,-73.8876915,"[{""name"":""Blue (M)"",""rating"":71.3,""par"":71,""slope"":125},{""name"":""White (M)"",""rating"":71,""par"":71,""slope"":123},{""name"":""Red (F)"",""rating"":70,""par"":70,""slope"":121}]",18,71,,,Semi-Private,http://www.brookhavengolfcourse.com
Brookhill Golf Course,Rantoul,Illinois,USA,40.33782,-88.1316525,"[{""name"":""Blue (M)"",""rating"":71.1,""par"":72,""slope"":123},{""name"":""White (M)"",""rating"":69.6,""par"":72,""slope"":120},{""name"":""Yellow (M)"",""rating"":67.2,""par"":72,""slope"":114},{""name"":""Red (M)"",""rating"":68.5,""par"":72,""slope"":112}]",18,72,,,Public,http://www.golfbrookhillgc.com/
Brookhills Golf Club,Springfield,Illinois,USA,39.7840597,-89.7510176,"[{""name"":""Blue (M)"",""rating"":null,""par"":31,""slope"":96},{""name"":""White (M)"",""rating"":null,""par"":31,""slope"":96},{""name"":""Red (F)"",""rating"":null,""par"":31,""slope"":85}]",9,31,,,Public,https://www.brookhillsgolfclub.net/
Brookings Country Club,Brookings,South Dakota,USA,44.298,-96.6972,"[{""name"":""Blue"",""rating"":71.3,""par"":72,""slope"":125},{""name"":""White"",""rating"":69.5,""par"":72,""slope"":121},{""name"":""Red"",""rating"":67.2,""par"":72,""slope"":115}]",18,72,71.9,126,Semi-Private,
Brooklake Country Club,Florham Park,New Jersey,USA,40.76531493,-74.37742005,"[{""name"":""Blue (M)"",""rating"":74.3,""par"":73,""slope"":136},{""name"":""White (M)"",""rating"":72.5,""par"":73,""slope"":134},{""name"":""Gold (M)"",""rating"":67.9,""par"":73,""slope"":122},{""name"":""Red (F)"",""rating"":71.8,""par"":72,""slope"":128}]",18,72,,,Private,http://www.brooklakecc.com
Brookland Golf Park,Brooklyn Park,Minnesota,USA,45.1037334,-93.3438256,"[{""name"":""White (M)"",""rating"":null,""par"":30,""slope"":null},{""name"":""Red (M)"",""rating"":null,""par"":30,""slope"":null},{""name"":""TaylorMade (M)"",""rating"":null,""par"":27,""slope"":null}]",9,30,,,Public,https://www.brooklandgolfpark.org/
Brooklawn Country Club,Fairfield,Connecticut,USA,41.1736,-73.2386,"[{""name"":""Blue"",""rating"":74.1,""par"":72,""slope"":137},{""name"":""White"",""rating"":71.8,""par"":72,""slope"":131}]",18,71,73.5,138,Private,
Brookledge Golf Course,Cuyahoga Falls,Ohio,USA,41.1268326,-81.4580218,"[{""name"":""Black (M)"",""rating"":70.8,""par"":71,""slope"":120},{""name"":""Blue (M)"",""rating"":68.1,""par"":71,""slope"":114},{""name"":""White (M)"",""rating"":66.2,""par"":71,""slope"":109},{""name"":""Yellow (F)"",""rating"":67.9,""par"":71,""slope"":112}]",18,71,,,Public,http://brookledgegc.com
Brookline Golf Course,Brookline,Massachusetts,USA,42.3064,-71.1647,"[{""name"":""Blue"",""rating"":69.5,""par"":70,""slope"":122},{""name"":""White"",""rating"":67.8,""par"":70,""slope"":118},{""name"":""Red"",""rating"":65.4,""par"":70,""slope"":113}]",18,71,70.8,126,Public,
Brookmeadow Country Club,Canton,Massachusetts,USA,42.1563954,-71.1726349,"[{""name"":""Gold (M)"",""rating"":71.7,""par"":72,""slope"":123},{""name"":""White (M)"",""rating"":70.1,""par"":72,""slope"":118},{""name"":""Red (F)"",""rating"":70.1,""par"":72,""slope"":118}]",18,72,,,Public,http://www.brookmeadowgolf.com/
Brookridge Golf Club,Overland Park,Kansas,USA,38.9384215,-94.6888426,"[{""name"":""Black (M)"",""rating"":71.4,""par"":70,""slope"":126}]",18,70,,,Public,http://www.brookridgegf.com/
Brookridge Golf Country Club,Brooksville,Florida,USA,28.545756,-82.4918932,"[{""name"":""Blue (M)"",""rating"":71,""par"":72,""slope"":121},{""name"":""White (M)"",""rating"":68.3,""par"":72,""slope"":117},{""name"":""Red (M)"",""rating"":69.7,""par"":72,""slope"":119}]",18,72,,,Private,http://brookridgegolf.com/
Brookridge Golf Fitness Championship Course,Overland Park,Kansas,USA,38.9384386,-94.6818404,"[{""name"":""Black (M)"",""rating"":72.3,""par"":71,""slope"":129},{""name"":""Blue (F)"",""rating"":76.6,""par"":72,""slope"":149},{""name"":""Blue (M)"",""rating"":71,""par"":71,""slope"":128},{""name"":""White (F)"",""rating"":73.9,""par"":72,""slope"":139},{""name"":""White (M)"",""rating"":68.6,""par"":71,""slope"":116},{""name"":""Red (F)"",""rating"":71.5,""par"":72,""slope"":126},{""name"":""Red (M)"",""rating"":66.6,""par"":71,""slope"":110},{""name"":""Gold (F)"",""rating"":70.4,""par"":72,""slope"":119}]",18,70,,,Private,http://www.brookridgegf.com/
Brookridge Golf Fitness West Nine,Overland Park,Kansas,USA,38.9384386,-94.6818404,"[{""name"":""White (M)"",""rating"":null,""par"":34,""slope"":99},{""name"":""Red (F)"",""rating"":null,""par"":35,""slope"":109}]",9,36,,,Private,http://www.brookridgegf.com/
Brooks Golf Club,Okoboji,Iowa,USA,43.3855,-95.1481,"[{""name"":""Black"",""rating"":73.5,""par"":72,""slope"":135},{""name"":""Blue"",""rating"":71.8,""par"":72,""slope"":131},{""name"":""White"",""rating"":70.1,""par"":72,""slope"":127},{""name"":""Red"",""rating"":67.4,""par"":72,""slope"":121}]",18,72,73.4,133,Public,
Brookshire Golf Club,Williamston,Michigan,USA,42.6945429,-84.2892,"[{""name"":""Championship (M)"",""rating"":69.1,""par"":72,""slope"":119},{""name"":""White (M)"",""rating"":67,""par"":72,""slope"":117},{""name"":""Red (F)"",""rating"":68.7,""par"":72,""slope"":112}]",18,72,,,Public,https://www.brookshiregolfclub.com/
Brookshire Golf Club,Carmel,Indiana,USA,40.45366641,-87.06596176,"[{""name"":""Blue (M)"",""rating"":72.8,""par"":72,""slope"":131},{""name"":""White (M)"",""rating"":70.7,""par"":72,""slope"":127},{""name"":""Gold (M)"",""rating"":68.3,""par"":72,""slope"":121},{""name"":""Red (F)"",""rating"":70.9,""par"":72,""slope"":120}]",18,72,,,Semi-Private,https://www.brookshiregolf.com/
Brookside Country Club,Macungie,Pennsylvania,USA,40.52597973,-75.56005213,"[{""name"":""Black (M)"",""rating"":72.2,""par"":71,""slope"":133},{""name"":""White (M)"",""rating"":70.6,""par"":71,""slope"":129},{""name"":""Gold (M)"",""rating"":67.7,""par"":71,""slope"":123},{""name"":""Red/Gold Combo (M)"",""rating"":73,""par"":71,""slope"":132},{""name"":""Red (F)"",""rating"":70.9,""par"":71,""slope"":129}]",18,71,,,Private,http://www.brooksidecountryclub.org
Brookside Golf & Country Club,Columbus,Ohio,USA,40.0983,-83.0567,"[{""name"":""Black"",""rating"":74.2,""par"":72,""slope"":141},{""name"":""Blue"",""rating"":72.1,""par"":72,""slope"":137},{""name"":""White"",""rating"":69.9,""par"":72,""slope"":132}]",18,72,75.1,141,Private,
